pos_element	neg_element	POS	pos_key	neg_key	pos_definition	neg_definition	reversed_ann1	affixal/non-affixal_ann1	negative affix_ann1	positive affix_ann1	direct/indirect_ann1	subtype_ann1	reversed_ann2	affixal/non-affixal_ann2	negative affix_ann2	positive affix_ann2	direct/indirect_ann2	subtype_ann2
overact	underact	v	overact%2:36:00::	underact%2:36:00::	exaggerate one's acting	act (a role) with great restraint	_	_	_	_	_	_	no	affixal	under-	_	indirect	OVA/INS
overbid	underbid	v	overbid%2:40:00::	underbid%2:40:00::	bid more than the object is worth	bid too low	no	affixal	under-	over-	indirect	OVA/INS	no	affixal	under-	_	indirect	OVA/INS
overcast	clear_up	v	overcast%2:43:00::	clear_up%2:43:00::	make overcast or cloudy	become clear	no	non-affixal	_	_	_	_	_	_	_	_	_	_
overcharge	undercharge	v	overcharge%2:40:00::	undercharge%2:40:00::	rip off; ask an unreasonable price	charge (someone) too little money	_	_	_	_	_	_	no	affixal	under-	_	indirect	OVA/INS
overdress	underdress	v	overdress%2:29:01::	underdress%2:29:01::	dress too warmly	dress without sufficient warmth	no	affixal	under-	over-	indirect	OVA/INS	_	_	_	_	_	_
overexpose	underexpose	v	overexpose%2:39:01::	underexpose%2:39:01::	expose to too much light	expose to too little light	no	affixal	under-	over-	indirect	OVA/INS	_	_	_	_	_	_
overpay	underpay	v	overpay%2:40:00::	underpay%2:40:00::	pay too much	pay too little	_	_	_	_	_	_	no	affixal	under-	_	indirect	OVA/INS
overshoot	undershoot	v	overshoot%2:33:00::	undershoot%2:33:00::	shoot beyond or over (a target)	shoot short of or below (a target)	no	affixal	under-	over-	indirect	OVA/INS	_	_	_	_	_	_
overspend	underspend	v	overspend%2:40:01::	underspend%2:40:01::	spend more than available of (a budget)	spend less than the whole of (a budget, for example)	no	affixal	under-	over-	indirect	OVA/INS	_	_	_	_	_	_
overstate	understate	v	overstate%2:32:00::	understate%2:32:00::	to enlarge beyond bounds or the truth	represent as less significant or important	_	_	_	_	_	_	no	affixal	under-	_	indirect	OVA/INS
overstock	understock	v	overstock%2:40:00::	understock%2:40:00::	stock excessively	stock with less than the usual or desirable number or quantity	no	affixal	under-	over-	indirect	OVA/INS	_	_	_	_	_	_
overvalue	undervalue	v	overvalue%2:31:00::	undervalue%2:31:00::	assign too high a value to	assign too low a value to	no	affixal	under-	over-	indirect	OVA/INS	_	_	_	_	_	_
pack	unpack	v	pack%2:35:00::	unpack%2:35:00::	arrange in a container	remove from its packing	no	affixal	un-	_	direct	REM	_	_	_	_	_	_
pay_up	default	v	pay_up%2:40:00::	default%2:40:00::	cancel or discharge a debt	fail to pay up	_	_	_	_	_	_	no	non-affixal	_	_	_	_
personalise	depersonalise	v	personalise%2:30:00::	depersonalise%2:30:00::	make personal or more personal	make impersonal or present as an object	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
personalize	depersonalize	v	personalize%2:30:00::	depersonalize%2:30:00::	make personal or more personal	make impersonal or present as an object	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
persuade	dissuade	v	persuade%2:32:00::	dissuade%2:32:00::	cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm	turn away from by persuasion	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
phase_in	phase_out	v	phase_in%2:36:00::	phase_out%2:36:00::	introduce gradually	terminate gradually	_	_	_	_	_	_	no	non-affixal	_	_	_	_
pin	unpin	v	pin%2:35:01::	unpin%2:35:00::	attach or fasten with pins or as if with pins	remove the pins from; unfasten the pins of	_	_	_	_	_	_	no	affixal	un-	_	direct	_
play_down	play_up	v	play_down%2:30:00::	play_up%2:30:00::	understate the importance or quality of	move into the foreground to make more visible or prominent	_	_	_	_	_	_	no	non-affixal	_	_	_	_
please	displease	v	please%2:37:00::	displease%2:37:00::	give pleasure to or be pleasing to	give displeasure to	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
plug_in	unplug	v	plug_in%2:35:00::	unplug%2:35:00::	plug into an outlet	pull the plug of (electrical appliances) and render inoperable	_	_	_	_	_	_	no	affixal	un-	_	direct	_
pop_in	pop_out	v	pop_in%2:38:00::	pop_out%2:38:00::	enter briefly	exit briefly	_	_	_	_	_	_	no	non-affixal	_	_	_	_
predate	postdate	v	predate%2:42:00::	postdate%2:42:00::	be earlier in time; go back further	be later in time	no	non-affixal	_	_	_	_	_	_	_	_	_	_
prefix	suffix	v	prefix%2:35:00::	suffix%2:35:00::	attach a prefix to	attach a suffix to	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
pressurise	depressurise	v	pressurise%2:30:00::	depressurise%2:30:00::	increase the pressure in or of	decrease the pressure of	no	affixal	de-	_	indirect	ROD	no	affixal	de-	_	indirect	ROA
pressurize	depressurize	v	pressurize%2:30:00::	depressurize%2:30:00::	increase the pressure in or of	decrease the pressure of	no	affixal	de-	_	indirect	ROD	_	_	_	_	_	_
profit	break_even	v	profit%2:40:00::	break_even%2:40:00::	make a profit; gain money or materially	make neither profit nor loss	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
profit	lose	v	profit%2:40:00::	lose%2:40:06::	make a profit; gain money or materially	fail to make money in a business; make a loss or fail to profit	no	non-affixal	_	_	_	_	_	_	_	_	_	_
progress	regress	v	progress%2:30:00::	regress%2:30:00::	develop in a positive way	get worse or fall back to a previous condition	_	_	_	_	_	_	no	non-affixal	_	_	_	_
promote	demote	v	promote%2:41:00::	demote%2:41:00::	give a promotion to or assign to a higher position	assign to a lower position; reduce in rank	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
prosecute	defend	v	prosecute%2:41:00::	defend%2:41:00::	bring a criminal action against (in a trial)	be the defense counsel for someone in a trial	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
prove	disprove	v	prove%2:31:00::	disprove%2:31:00::	establish the validity of something, as by an example, explanation or experiment	prove to be false	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
pull	push	v	pull%2:35:00::	push%2:38:00::	cause to move by pulling	"move with force, ""He pushed the table into a corner"""	_	_	_	_	_	_	no	non-affixal	_	_	_	_
pull_out	pull_in	v	pull_out%2:38:00::	pull_in%2:38:00::	move out or away	of trains; move into (a station)	yes	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
punch_in	punch_out	v	punch_in%2:32:00::	punch_out%2:32:00::	register one's arrival at work	register one's departure from work	no	non-affixal	_	_	_	_	_	_	_	_	_	_
purge	rehabilitate	v	purge%2:41:00::	rehabilitate%2:41:01::	oust politically	reinstall politically	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
qualify	disqualify	v	qualify%2:32:02::	disqualify%2:32:00::	pronounce fit or able	declare unfit	no	affixal	dis-	_	direct	_	no	affixal	dis-	_	indirect	ROA
quieten	louden	v	quieten%2:39:00::	louden%2:39:00::	become quiet or quieter	become louder	_	_	_	_	_	_	no	non-affixal	_	_	_	_
raise	level	v	raise%2:36:02::	level%2:36:00::	construct, build, or erect	tear down so as to make flat with the ground	_	_	_	_	_	_	no	non-affixal	_	_	_	_
record	erase	v	record%2:32:01::	erase%2:32:00::	register electronically	wipe out digitally or magnetically recorded information	no	non-affixal	_	_	_	_	_	_	_	_	_	_
reduce	blow_up	v	reduce%2:30:04::	blow_up%2:30:00::	make smaller	make large	_	_	_	_	_	_	no	non-affixal	_	_	_	_
reduce	gain	v	reduce%2:29:00::	gain%2:29:00::	take off weight	increase (one's body weight)	no	non-affixal	_	_	_	_	_	_	_	_	_	_
refresh	tire	v	refresh%2:29:00::	tire%2:29:01::	make fresh again	exhaust or get tired through overuse or great strain or stress	_	_	_	_	_	_	no	non-affixal	_	_	_	_
refuse	accept	v	refuse%2:40:00::	accept%2:40:00::	refuse to accept	receive willingly something given or offered	_	_	_	_	_	_	no	non-affixal	_	_	_	_
regulate	deregulate	v	regulate%2:41:01::	deregulate%2:41:00::	bring into conformity with rules or principles or usage; impose regulations	lift the regulations on	no	affixal	de-	_	indirect	ROA	no	affixal	de-	_	indirect	ROA
reject	accept	v	reject%2:31:00::	accept%2:31:00::	refuse to accept or acknowledge	consider or hold as true	no	non-affixal	_	_	_	_	_	_	_	_	_	_
remember	forget	v	remember%2:31:01::	forget%2:31:01::	keep in mind for attention or consideration	dismiss from the mind; stop remembering	_	_	_	_	_	_	no	non-affixal	_	_	_	_
repair	break	v	repair%2:30:00::	break%2:35:01::	restore by replacing a part or putting together what is torn or broken	ruin completely	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
requisition	derequisition	v	requisition%2:40:00::	derequisition%2:40:00::	demand and take for use or service, especially by military or public authority for public service	release from government control	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
respect	disrespect	v	respect%2:41:00::	disrespect%2:41:00::	show respect towards	show a lack of respect for	_	_	_	_	_	_	no	affixal	dis-	_	indirect	ROA
rest	be_active	v	rest%2:29:00::	be_active%2:29:00::	be at rest	be in a state of action	_	_	_	_	_	_	no	non-affixal	_	_	_	_
restrict	derestrict	v	restrict%2:41:00::	derestrict%2:41:00::	place under restrictions; limit access to	make free from restrictions	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
retail	wholesale	v	retail%2:40:00::	wholesale%2:40:00::	sell on the retail market	sell in large quantities	no	non-affixal	_	_	_	_	_	_	_	_	_	_
right	wrong	v	right%2:41:00::	wrong%2:41:00::	make reparations or amends for	treat unjustly; do wrong to	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
rise	fall	v	rise%2:38:00::	fall%2:38:00::	move upward	move downward and lower, but not necessarily all the way	_	_	_	_	_	_	no	non-affixal	_	_	_	_
rise	set	v	rise%2:38:08::	set%2:38:00::	come up, of celestial bodies	disappear beyond the horizon	no	non-affixal	_	_	_	_	_	_	_	_	_	_
run	idle	v	run%2:35:04::	idle%2:35:00::	be operating, running or functioning	run disconnected or idle	no	non-affixal	_	_	_	_	_	_	_	_	_	_
rush	delay	v	rush%2:30:01::	delay%2:30:00::	urge to an unnatural speed	cause to be slowed down or delayed	_	_	_	_	_	_	no	non-affixal	_	_	_	_
saddle	unsaddle	v	saddle%2:35:01::	unsaddle%2:35:00::	put a saddle on	remove the saddle from	_	_	_	_	_	_	no	affixal	un-	_	direct	_
salinate	desalinate	v	salinate%2:30:00::	desalinate%2:30:00::	add salt to	remove salt from	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
satisfy	dissatisfy	v	satisfy%2:37:00::	dissatisfy%2:37:00::	make happy or satisfied	fail to satisfy	no	affixal	dis-	_	direct	_	_	_	_	_	_	_
scale_down	scale_up	v	scale_down%2:30:00::	scale_up%2:30:00::	reduce proportionally	increase proportionally	_	_	_	_	_	_	no	non-affixal	_	_	_	_
scramble	unscramble	v	scramble%2:30:00::	unscramble%2:30:00::	make unintelligible	make intelligible	_	_	_	_	_	_	no	affixal	un-	_	direct	_
seal	unseal	v	seal%2:35:00::	unseal%2:35:00::	close with or as if with a seal	break the seal of	no	affixal	un-	_	indirect	ROA	_	_	_	_	_	_
sedate	stimulate	v	sedate%2:29:00::	stimulate%2:29:00::	cause to be calm or quiet as by administering a sedative to	cause to be alert and energetic	_	_	_	_	_	_	no	non-affixal	_	_	_	_
sensitize	desensitize	v	sensitize%2:39:00::	desensitize%2:39:00::	cause to sense; make sensitive	cause not to be sensitive	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
sharpen	flatten	v	sharpen%2:30:02::	flatten%2:30:03::	raise the pitch of (musical notes)	lower the pitch of (musical notes)	_	_	_	_	_	_	no	non-affixal	_	_	_	_
sheathe	unsheathe	v	sheathe%2:35:00::	unsheathe%2:35:00::	enclose with a sheath	draw from a sheath or scabbard	_	_	_	_	_	_	no	affixal	un-	_	direct	_
shorten	lengthen	v	shorten%2:30:01::	lengthen%2:30:01::	make shorter than originally intended; reduce or retrench in length or duration	make longer	no	non-affixal	_	_	_	_	_	_	_	_	_	_
shout	whisper	v	shout%2:32:00::	whisper%2:32:00::	utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking)	speak softly; in a low voice	no	non-affixal	_	_	_	_	_	_	_	_	_	_
show	hide	v	show%2:39:00::	hide%2:39:00::	make visible or noticeable	prevent from being seen or discovered	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
shrink	stretch	v	shrink%2:30:00::	stretch%2:30:00::	become smaller or draw together	become longer by being stretched and pulled	no	non-affixal	_	_	_	_	_	_	_	_	_	_
simplify	complicate	v	simplify%2:30:00::	complicate%2:30:00::	make simpler or easier or reduce in complexity or extent	make more complicated	_	_	_	_	_	_	no	non-affixal	_	_	_	_
sit	lie	v	sit%2:35:00::	lie%2:35:00::	be seated	be lying, be prostrate; be in a horizontal position	_	_	_	_	_	_	no	non-affixal	_	_	_	_
sit	stand	v	sit%2:35:00::	stand%2:35:00::	be seated	be standing; be upright	no	non-affixal	_	_	_	_	_	_	_	_	_	_
sleep	wake	v	sleep%2:29:00::	wake%2:29:00::	be asleep	be awake, be alert, be there	no	non-affixal	_	_	_	_	_	_	_	_	_	_
slip_on	slip_off	v	slip_on%2:29:00::	slip_off%2:29:00::	put on with ease or speed	take off with ease or speed	_	_	_	_	_	_	no	non-affixal	_	_	_	_
smooth	roughen	v	smooth%2:35:00::	roughen%2:35:00::	make smooth or smoother, as if by rubbing	make rough or rougher	_	_	_	_	_	_	no	non-affixal	_	_	_	_
snarl	unsnarl	v	snarl%2:35:00::	unsnarl%2:35:00::	twist together or entwine into a confusing mass	extricate from entanglement	no	affixal	un-	_	indirect	ROA	_	_	_	_	_	_
soften	harden	v	soften%2:30:01::	harden%2:30:01::	make soft or softer	make hard or harder	_	_	_	_	_	_	no	non-affixal	_	_	_	_
soften	sharpen	v	soften%2:39:00::	sharpen%2:39:00::	make (images or sounds) soft or softer	make (images or sounds) sharp or sharper	no	non-affixal	_	_	_	_	_	_	_	_	_	_
specify	generalize	v	specify%2:32:00::	generalize%2:32:00::	be specific about	speak or write in generalities	no	non-affixal	_	_	_	_	_	_	_	_	_	_
spell	unspell	v	spell%2:32:02::	unspell%2:32:00::	place under a spell	release from a spell	_	_	_	_	_	_	no	affixal	un-	_	direct	_
spread	gather	v	spread%2:35:00::	gather%2:35:00::	distribute or disperse widely	assemble or get together	_	_	_	_	_	_	no	non-affixal	_	_	_	_
stabilise	destabilise	v	stabilise%2:30:01::	destabilise%2:30:00::	make stable and keep from fluctuating or put into an equilibrium	make unstable	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
stabilize	destabilise	v	stabilize%2:30:00::	destabilise%2:30:01::	become stable or more stable	become unstable	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
stabilize	destabilize	v	stabilize%2:30:00::	destabilize%2:30:01::	become stable or more stable	become unstable	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
stalinize	destalinize	v	stalinize%2:30:00::	destalinize%2:30:00::	transform in accordance with Stalin's policies	counteract the effects and policies of Stalinism	no	affixal	de-	_	indirect	ROA	_	_	_	_	_	_
stand	lie	v	stand%2:35:00::	lie%2:35:00::	be standing; be upright	be lying, be prostrate; be in a horizontal position	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
stand	yield	v	stand%2:42:00::	yield%2:42:00::	hold one's ground; maintain a position; be steadfast or upright	give in, as to influence or pressure	_	_	_	_	_	_	no	non-affixal	_	_	_	_
staple	unstaple	v	staple%2:35:00::	unstaple%2:35:00::	secure or fasten with a staple or staples	take the staples off	no	affixal	un-	_	indirect	REM	_	_	_	_	_	_
start	stop	v	start%2:38:00::	stop%2:38:00::	begin or set in motion	come to a halt, stop moving	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
starve	be_full	v	starve%2:34:00::	be_full%2:34:00::	be hungry; go without food	be sated, have enough to eat	_	_	_	_	_	_	no	non-affixal	_	_	_	_
stiffen	loosen	v	stiffen%2:30:00::	loosen%2:30:00::	become stiff or stiffer	become loose or looser or less tight	no	non-affixal	_	_	_	_	_	_	_	_	_	_
stifle	stimulate	v	stifle%2:30:00::	stimulate%2:30:00::	smother or suppress	act as a stimulant	yes	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
straighten	bend	v	straighten%2:38:00::	bend%2:38:00::	straighten up or out; make straight	form a curve	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
strain	unstrain	v	strain%2:29:00::	unstrain%2:29:00::	cause to be tense and uneasy or nervous or anxious	cause to feel relaxed	no	affixal	un-	_	indirect	ROA	no	affixal	un-	_	direct	_
strap	unstrap	v	strap%2:35:00::	unstrap%2:35:00::	tie with a strap	remove the strap or straps from	_	_	_	_	_	_	no	affixal	un-	_	direct	_
strengthen	weaken	v	strengthen%2:30:01::	weaken%2:30:01::	make strong or stronger	lessen the strength of	no	non-affixal	_	_	_	_	_	_	_	_	_	_
string	unstring	v	string%2:35:00::	unstring%2:35:00::	provide with strings	remove the strings from	_	_	_	_	_	_	no	affixal	un-	_	direct	_
stuff	unstuff	v	stuff%2:35:01::	unstuff%2:35:00::	obstruct	cause to become unblocked	no	affixal	un-	_	direct	_	_	_	_	_	_	_
succeed	fail	v	succeed%2:41:00::	fail%2:41:00::	attain success or reach a desired goal	be unsuccessful	no	non-affixal	_	_	_	_	_	_	_	_	_	_
succeed	precede	v	succeed%2:41:01::	precede%2:41:00::	be the successor (of)	be the predecessor of	no	non-affixal	_	_	_	_	_	_	_	_	_	_
suffer	be_well	v	suffer%2:29:00::	be_well%2:29:00::	feel pain or be in pain	be healthy; feel good	_	_	_	_	_	_	no	non-affixal	_	_	_	_
suffer	enjoy	v	suffer%2:39:01::	enjoy%2:39:00::	undergo or be subjected to	have for one's benefit	no	non-affixal	_	_	_	_	no	non-affixal	_	_	_	_
surrender	resist	v	surrender%2:33:00::	resist%2:33:00::	give up or agree to forgo to the power or possession of another	stand up or offer resistance to somebody or something	no	non-affixal	_	_	_	_	_	_	_	_	_	_
survive	succumb	v	survive%2:42:02::	succumb%2:42:00::	continue in existence after (an adversity, etc.)	be fatally overwhelmed	_	_	_	_	_	_	no	non-affixal	_	_	_	_
sweeten	sour	v	sweeten%2:39:00::	sour%2:39:00::	make sweeter in taste	make sour or more sour	_	_	_	_	_	_	no	non-affixal	_	_	_	_
switch_on	switch_off	v	switch_on%2:35:00::	switch_off%2:35:00::	cause to operate by flipping a switch	cause to stop operating by disengaging a switch	no	non-affixal	_	_	_	_	_	_	_	_	_	_
synchronise	desynchronise	v	synchronise%2:30:00::	desynchronise%2:30:00::	make synchronous and adjust in time or manner	cause to become desynchronized; cause to occur at unrelated times	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
synchronize	desynchronize	v	synchronize%2:30:00::	desynchronize%2:30:00::	make synchronous and adjust in time or manner	cause to become desynchronized; cause to occur at unrelated times	_	_	_	_	_	_	no	affixal	de-	_	indirect	ROA
take_away	add	v	take_away%2:30:00::	add%2:30:00::	take out or remove	make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of	_	_	_	_	_	_	no	non-affixal	_	_	_	_
talk	keep_quiet	v	talk%2:32:06::	keep_quiet%2:32:00::	divulge confidential information or secrets	refrain from divulging sensitive information; keep quiet about confidential information	_	_	_	_	_	_	no	non-affixal	_	_	_	_
